,Airlines,Sources,Destinations,Duration,Total Stops,Date,Arrival Time,Departure Time,Prices
62,IndiGo,BOM,DEL,6h 15m,1 stop,5/5/2024,23:10,16:55,"₹ 11,085"
63,Air India,BOM,DEL,4h 55m,1 stop,5/5/2024,19:55,15:00,"₹ 12,146"
64,Air India,BOM,DEL,5h 40m,1 stop,5/5/2024,21:45,16:05,"₹ 12,397"
65,IndiGo,BOM,DEL,5h 40m,1 stop,5/5/2024,00:10+1,18:30,"₹ 12,588"
66,Air India,BOM,DEL,3h 40m,1 stop,5/5/2024,8:55,5:15,"₹ 12,624"
67,IndiGo,BOM,DEL,4h 40m,1 stop,5/5/2024,13:00,8:20,"₹ 12,659"
68,IndiGo,BOM,DEL,4h 05m,1 stop,5/5/2024,20:55,16:50,"₹ 12,972"
69,IndiGo,BOM,DEL,5h 20m,1 stop,5/5/2024,20:35,15:15,"₹ 12,972"
70,Vistara,BOM,DEL,4h 25m,1 stop,5/5/2024,16:45,12:20,"₹ 13,237"
71,Vistara,BOM,DEL,4h 05m,1 stop,5/5/2024,10:25,6:20,"₹ 13,963"
72,Air India,BOM,DEL,5h 10m,1 stop,5/5/2024,23:45,18:35,"₹ 14,554"
73,Vistara,BOM,DEL,2h 20m,direct,5/5/2024,17:00,14:40,"₹ 19,082"
74,Air India Express,BOM,DEL,8h 50m,1 stop,5/5/2024,07:25+1,22:35,"₹ 5,785"
75,"Air India Express, Air India Express",BOM,DEL,6h 25m,1 stop,5/5/2024,13:20,6:55,"₹ 11,377"
76,Air India,BOM,DEL,8h 00m,1 stop,5/5/2024,23:25,15:25,"₹ 12,319"
77,Air India,BOM,DEL,6h 05m,1 stop,5/5/2024,10:05,4:00,"₹ 13,374"
78,Air India,BOM,DEL,8h 20m,1 stop,5/5/2024,18:20,10:00,"₹ 13,602"
79,Vistara,BOM,DEL,9h 10m,1 stop,5/5/2024,19:55,10:45,"₹ 13,699"
80,Vistara,BOM,DEL,7h 40m,1 stop,5/5/2024,14:20,6:40,"₹ 14,291"
81,Air India,BOM,DEL,6h 00m,1 stop,5/5/2024,12:40,6:40,"₹ 14,650"
82,Air India,BOM,DEL,6h 45m,1 stop,5/5/2024,16:10,9:25,"₹ 14,650"
83,Air India,BOM,DEL,8h 40m,1 stop,5/5/2024,12:40,4:00,"₹ 14,650"
84,Air India,BOM,DEL,9h 05m,1 stop,5/5/2024,18:30,9:25,"₹ 14,650"
85,Vistara,BOM,DEL,7h 05m,1 stop,5/5/2024,16:45,9:40,"₹ 14,707"
86,Vistara,BOM,DEL,6h 20m,1 stop,5/5/2024,12:30,6:10,"₹ 15,795"
87,IndiGo,BOM,DEL,6h 45m,1 stop,5/5/2024,17:10,10:25,"₹ 15,948"
88,Vistara,BOM,DEL,6h 15m,1 stop,5/5/2024,00:05+1,17:50,"₹ 15,972"
89,Air India,BOM,DEL,7h 15m,1 stop,5/5/2024,23:55,16:40,"₹ 16,266"
90,Air India,BOM,DEL,6h 55m,1 stop,5/5/2024,20:30,13:35,"₹ 16,484"
91,Air India,BOM,DEL,6h 55m,1 stop,5/5/2024,16:10,9:15,"₹ 16,540"
92,Air India,BOM,DEL,5h 40m,1 stop,5/5/2024,22:20,16:40,"₹ 16,678"
93,Air India,BOM,DEL,7h 55m,1 stop,5/5/2024,14:35,6:40,"₹ 16,708"
94,Air India,BOM,DEL,8h 15m,1 stop,5/5/2024,23:45,15:30,"₹ 16,760"
95,Air India,BOM,DEL,5h 00m,1 stop,5/5/2024,23:25,18:25,"₹ 17,087"
96,Air India,BOM,DEL,4h 50m,1 stop,5/5/2024,20:20,15:30,"₹ 17,346"
97,Air India Express,BOM,DEL,8h 05m,1 stop,5/5/2024,02:30+1,18:25,"₹ 17,576"
98,Air India,BOM,DEL,7h 50m,1 stop,5/5/2024,13:05,5:15,"₹ 18,513"
99,Air India,BOM,DEL,8h 55m,1 stop,5/5/2024,19:55,11:00,"₹ 19,233"
100,Air India,BOM,DEL,5h 05m,1 stop,5/5/2024,10:15,5:10,"₹ 19,648"
101,Air India,BOM,DEL,7h 20m,1 stop,5/5/2024,20:30,13:10,"₹ 19,658"
102,Air India,BOM,DEL,7h 50m,1 stop,5/5/2024,18:50,11:00,"₹ 19,792"
103,Air India,BOM,DEL,7h 55m,1 stop,5/5/2024,13:50,5:55,"₹ 19,868"
104,Air India,BOM,DEL,6h 10m,1 stop,5/5/2024,17:10,11:00,"₹ 20,292"
105,Air India,BOM,DEL,2h 20m,direct,5/5/2024,3:50,1:30,"₹ 20,722"
106,Air India,BOM,DEL,6h 35m,1 stop,5/5/2024,12:30,5:55,"₹ 20,894"
107,Vistara,BOM,DEL,5h 50m,1 stop,5/5/2024,12:40,6:50,"₹ 22,665"
108,Air India,BOM,DEL,6h 05m,1 stop,5/5/2024,19:40,13:35,"₹ 23,037"
109,Air India,BOM,DEL,6h 50m,1 stop,5/5/2024,00:05+1,17:15,"₹ 23,506"
110,Air India,BOM,DEL,7h 35m,1 stop,5/5/2024,18:05,10:30,"₹ 24,055"
111,Air India,BOM,DEL,8h 55m,2 stops,5/5/2024,14:55,6:00,"₹ 24,194"
112,Vistara,BOM,DEL,8h 50m,1 stop,5/5/2024,22:40,13:50,"₹ 24,756"
113,SpiceJet,BOM,DEL,7h 40m,1 stop,5/5/2024,15:25,7:45,"₹ 25,238"
114,Air India,BOM,DEL,3h 40m,direct,5/5/2024,11:20,7:40,"₹ 26,687"
115,Air India,BOM,DEL,3h 40m,1 stop,5/5/2024,11:20,7:40,"₹ 27,960"
116,Vistara,BOM,DEL,4h 15m,1 stop,5/5/2024,16:25,12:10,"₹ 31,483"
117,Vistara,BOM,DEL,6h 00m,1 stop,5/5/2024,11:30,5:30,"₹ 28,881"
118,Air India Express,BOM,DEL,7h 55m,1 stop,5/5/2024,20:10,12:15,"₹ 28,883"
119,Air India Express,BOM,DEL,6h 25m,1 stop,5/5/2024,12:15,5:50,"₹ 29,106"
120,SpiceJet,BOM,DEL,8h 00m,1 stop,5/5/2024,20:05,12:05,"₹ 31,591"
121,SpiceJet,BOM,DEL,6h 50m,1 stop,5/5/2024,20:55,14:05,"₹ 32,621"
122,Air India,BOM,DEL,8h 25m,2 stops,5/5/2024,18:30,10:05,"₹ 34,161"
123,Air India,BOM,DEL,8h 00m,1 stop,5/5/2024,23:00,15:00,"₹ 34,870"
124,"Air India Express, Air India Express",BOM,DEL,7h 15m,1 stop,5/5/2024,19:40,12:25,"₹ 37,937"
125,Air India Express,BOM,DEL,8h 05m,1 stop,5/5/2024,20:30,12:25,"₹ 38,005"
126,Vistara,BOM,DEL,6h 20m,1 stop,5/5/2024,23:50,17:30,"₹ 38,207"
127,Vistara,BOM,DEL,7h 10m,1 stop,5/5/2024,14:10,7:00,"₹ 39,384"
128,Air India,BOM,DEL,6h 55m,1 stop,5/5/2024,17:50,10:55,"₹ 40,576"
129,Vistara,BOM,DEL,8h 00m,2 stops,5/5/2024,14:10,6:10,"₹ 40,661"
130,SpiceJet,BOM,DEL,6h 00m,1 stop,5/5/2024,11:50,5:50,"₹ 44,309"
131,SpiceJet,BOM,DEL,8h 25m,1 stop,5/5/2024,14:15,5:50,"₹ 44,708"
132,Air India,BOM,DEL,8h 05m,1 stop,5/5/2024,02:30+1,18:25,"₹ 45,008"
133,Air India,BOM,DEL,5h 30m,1 stop,5/5/2024,02:30+1,21:00,"₹ 45,113"
134,"Vistara, Air India",BOM,DEL,4h 00m,1 stop,5/5/2024,16:20,12:20,"₹ 48,505"
135,"Vistara, Air India",BOM,DEL,6h 40m,1 stop,5/5/2024,16:20,9:40,"₹ 50,142"
136,"Air India, Vistara",BOM,DEL,4h 55m,1 stop,5/5/2024,10:25,5:30,"₹ 51,434"
137,Etihad Airways,BOM,DEL,8h 40m,1 stop,5/5/2024,19:35,10:55,"₹ 52,962"
138,Vistara,BOM,DEL,6h 30m,1 stop,5/5/2024,18:30,12:00,"₹ 53,469"
139,"Air India, Vistara",BOM,DEL,5h 30m,1 stop,5/5/2024,16:45,11:15,"₹ 56,771"
140,"Vistara, Air India",BOM,DEL,5h 15m,1 stop,5/5/2024,20:20,15:05,"₹ 57,506"
141,"Air India, Vistara",BOM,DEL,5h 35m,1 stop,5/5/2024,11:30,5:55,"₹ 58,765"
142,"Air India, Vistara",BOM,DEL,4h 55m,1 stop,5/5/2024,19:55,15:00,"₹ 58,997"
143,"Air India, Vistara",BOM,DEL,5h 45m,1 stop,5/5/2024,20:45,15:00,"₹ 58,997"
144,"Vistara, Air India",BOM,DEL,5h 25m,1 stop,5/5/2024,16:50,11:25,"₹ 59,055"
145,"Vistara, Air India",BOM,DEL,7h 00m,1 stop,5/5/2024,23:45,16:45,"₹ 59,987"
146,"Vistara, Air India",BOM,DEL,8h 20m,1 stop,5/5/2024,13:50,5:30,"₹ 60,747"
147,Vistara,BOM,DEL,8h 10m,1 stop,5/5/2024,14:10,6:00,"₹ 60,849"
148,"Vistara, Air India",BOM,DEL,6h 20m,1 stop,5/5/2024,12:30,6:10,"₹ 61,762"
149,"Vistara, Air India",BOM,DEL,6h 25m,1 stop,5/5/2024,17:10,10:45,"₹ 63,022"
150,"Vistara, Air India",BOM,DEL,8h 05m,1 stop,5/5/2024,18:50,10:45,"₹ 63,057"
151,"Vistara, Air India",BOM,DEL,5h 40m,1 stop,5/5/2024,12:40,7:00,"₹ 69,163"
152,"Vistara, Air India",BOM,DEL,5h 30m,1 stop,5/5/2024,14:35,9:05,"₹ 71,444"
153,"Air India, Vistara",BOM,DEL,5h 40m,1 stop,5/5/2024,22:20,16:40,"₹ 71,706"
154,"Vistara, Air India",BOM,DEL,7h 35m,1 stop,5/5/2024,14:35,7:00,"₹ 71,715"
155,"Vistara, Air India",BOM,DEL,9h 10m,1 stop,5/5/2024,16:10,7:00,"₹ 71,750"
156,"Vistara, Air India",BOM,DEL,6h 25m,1 stop,5/5/2024,23:55,17:30,"₹ 71,901"
157,"Vistara, Air India",BOM,DEL,7h 05m,1 stop,5/5/2024,16:10,9:05,"₹ 71,901"
158,"Vistara, Air India",BOM,DEL,7h 50m,2 stops,5/5/2024,19:50,12:00,"₹ 73,689"
159,"Vistara, Air India",BOM,DEL,8h 45m,1 stop,5/5/2024,22:35,13:50,"₹ 75,867"
160,"Air India, Vistara",BOM,DEL,6h 00m,1 stop,5/5/2024,23:15,17:15,"₹ 79,775"
161,"Vistara, Air India",BOM,DEL,8h 55m,2 stops,5/5/2024,20:20,11:25,"₹ 81,439"
162,"Vistara, Air India",BOM,DEL,8h 40m,2 stops,5/5/2024,20:05,11:25,"₹ 89,542"
163,"Vistara, Air India",BOM,DEL,8h 25m,2 stops,5/5/2024,14:35,6:10,"₹ 91,784"
164,Akasa Air,BOM,DEL,2h 20m,direct,5/6/2024,21:15,18:55,"₹ 4,779"
165,Akasa Air,BOM,DEL,2h 10m,direct,5/6/2024,15:15,13:05,"₹ 5,310"
166,Vistara,BOM,DEL,2h 05m,direct,5/6/2024,21:15,19:10,"₹ 5,488"
167,Air India,BOM,DEL,2h 15m,direct,5/6/2024,15:15,13:00,"₹ 4,963"
168,Air India,BOM,DEL,2h 20m,direct,5/6/2024,17:55,15:35,"₹ 4,963"
169,Air India,BOM,DEL,2h 20m,direct,5/6/2024,20:20,18:00,"₹ 4,963"
170,Air India,BOM,DEL,2h 15m,direct,5/6/2024,21:15,19:00,"₹ 5,488"
171,Air India,BOM,DEL,2h 10m,direct,5/6/2024,14:00,11:50,"₹ 5,955"
172,IndiGo,BOM,DEL,2h 05m,direct,5/6/2024,17:35,15:30,"₹ 5,342"
173,IndiGo,BOM,DEL,2h 10m,direct,5/6/2024,15:25,13:15,"₹ 5,342"
174,IndiGo,BOM,DEL,2h 10m,direct,5/6/2024,22:10,20:00,"₹ 5,342"
175,IndiGo,BOM,DEL,2h 10m,direct,5/6/2024,21:10,19:00,"₹ 5,342"
176,IndiGo,BOM,DEL,2h 15m,direct,5/6/2024,14:30,12:15,"₹ 5,342"
177,IndiGo,BOM,DEL,2h 10m,direct,5/6/2024,19:10,17:00,"₹ 5,552"
178,IndiGo,BOM,DEL,2h 20m,direct,5/6/2024,13:10,10:50,"₹ 5,972"
179,Air India,BOM,DEL,2h 30m,direct,5/6/2024,18:30,16:00,"₹ 6,107"
